"LOAN325083","Ortega Garden","540-74-0526","68848.59","Releasing"
"LOAN812952","Ronald Landing","623-45-6853","19713.80","Not started to issue"
"LOAN426909","Christine Place","537-25-4026","56409.59","All loans are released"
"LOAN613107","Ronald Landing","274-03-6560","50294.67","All loans are released"
"LOAN476929","Ortega Garden","815-53-8855","15688.29","Releasing"
"LOAN546607","Hill Hills","874-76-6909","79077.37","Releasing"
"LOAN648037","Kenneth Islands","285-77-2982","30299.00","Releasing"
"LOAN301572","Adam Oval","122-74-7258","65029.32","Not started to issue"
"LOAN924709","Karen Springs","240-15-0081","89628.22","Releasing"
"LOAN689534","Christine Place","436-49-3030","11990.87","All loans are released"
